Sat Mar 17 05:51:43 2018,"rinnared","ジョンマカフィー：ハッキング対策スタートアップCryptoSecureに加入 https://t.co/NOdk9TsIIY #仮想通貨 #ビットコイン #ビットコインキャッシュ #ビットコインFX #BTC #相互フォロー",ETH,598.85,BTC,8186.75
Sat Mar 17 05:51:44 2018,"OlaDasha7766677","RT @GymRewards: Buy #GYMRewards Tokens, Bonus Time is ending! https://t.co/HDvhoZrz2J, #ICO #cryptocurrency #mobile #app #mining #exercisin…",ETH,598.85,BTC,8186.75
Sat Mar 17 05:51:44 2018,"adesinabolude","RT @bethereumteam: The Bether #token.\nSimple, #safe, #transparent and socially engaging!\nLearn more: https://t.co/C5UxE6TPGJ\n#crypto #block…",ETH,598.86,BTC,8186.7
Sat Mar 17 05:51:46 2018,"RobertRed90","Чувство вины всегда давит.Вина всегда  требует наказания \n#FollowBack #follo4follo #like4like #bitcoin #взаимныйфолловинг",ETH,598.86,BTC,8186.7
Sat Mar 17 05:51:47 2018,"profits_bitcoin","The latest The Bitcoin Profits Daily! https://t.co/nyvLh5hvUZ #bitcoin #cryptocurrency",ETH,598.86,BTC,8186.7
Sat Mar 17 05:51:48 2018,"sakura_pachi","RT @MOLD_games_EN: 【ETH present campaign !】\n\n0.1 ETH will be gifted to 10 people every month. Follow @MOLD_games_EN and RT &amp; like to our tw…",ETH,598.86,BTC,8186.7
Sat Mar 17 05:51:48 2018,"GradyMorgan10","RT @hashflareinfo: Bitcoin is going up again. Expected that #price of #bitcoin will be around 25000 until April. \n\nStart mining - https://t…",ETH,598.86,BTC,8186.7
Sat Mar 17 05:51:49 2018,"profits_bitcoin","“Real Users”: In This Italian Mountain Town, Everyone Knows About Bitcoin https://t.co/F50OUCrBVh #bitcoin",ETH,598.86,BTC,8186.7
Sat Mar 17 05:51:50 2018,"MuchBitcoin","RT @AnselLindner: Ouch. Now that's scary centralized. #bcash https://t.co/bGY5MkArjc",ETH,598.86,BTC,8186.7
Sat Mar 17 05:51:51 2018,"SummerWavesDJs","Sign up as an investor on https://t.co/UnzXs1spNK and get 5 CAT tokens as a bonus. You must have at least 1 ETH on… https://t.co/izQt43mwYj",ETH,598.86,BTC,8186.7
Sat Mar 17 05:51:52 2018,"criptocoin2018","@CoolCousinCo \nCool Cousin - это компания которая позволяет местным жителям зарабатывать на их знаниях, позволяя пу… https://t.co/VSUa9u79mN",ETH,598.86,BTC,8186.7
Sat Mar 17 05:51:53 2018,"Nano_coin","Grab your F.ree bitcoins here :) easy to use and refer friend and make easy money , do it now… https://t.co/rylDwWWHw8",ETH,598.86,BTC,8186.7
Sat Mar 17 05:51:53 2018,"trowelmerged","RT @skillchain_io: The #LinkedIn of the #future: we plan to revolutionize the job market with the use of cross-reference analysis, #immutab…",ETH,598.86,BTC,8186.7
Sat Mar 17 05:51:54 2018,"DetroitCrypto","Cryptocurrency: #Stratis\nPrice USD: 4.47531\nPrice BTC: 0.00054823\n24h Volume USD: 4834810.0\nPercent change 24h: -2.81",ETH,598.86,BTC,8186.7
Sat Mar 17 05:51:55 2018,"Double_Irish_D","@ThomasDavidGib1 1) Agreed on both counts. We wanted to believe with closed eyes. Without giving the quants enough… https://t.co/R9cLgMwlL0",ETH,598.85,BTC,8186.38
Sat Mar 17 05:51:56 2018,"OlaDasha7766677","RT @GymRewards: Join the GYM Rewards Beta @ https://t.co/PmWCZISLYL … … #GYMRewards, #ICO #cryptocurrency #mobile #app #mining #exercising…",ETH,598.85,BTC,8186.38
Sat Mar 17 05:51:56 2018,"Navang25","@DiaryofaMadeMan Is there a reason you don't hold any BTC?",ETH,598.85,BTC,8186.38
Sat Mar 17 05:51:57 2018,"cryptobserver24","RT @CoinSignalBot: 5 min #RSI Signals:\n\n$BTC - $CRB: 4.06\n$BTC - $COVAL: 5.05\n$BTC - $PKB: 5.3\n$BTC - $SPHR: 6.48\n$BTC - $NXC: 6.74\n$BTC -…",ETH,598.85,BTC,8186.38
Sat Mar 17 05:51:58 2018,"KakaieSaeed","RT @aelfblockchain: Come and join the ELF/BTC Trading Ranked Competition on @BigONEexchange , earn your free $ELF !!https://t.co/c0S6THhHPV…",ETH,598.85,BTC,8186.38
Sat Mar 17 05:51:59 2018,"BakerGerhart","@DanBilzerian @crypto_monopoly Almost became a Navy seal, made his nut through poker, sold Bitcoin at its peak... l… https://t.co/verIXgKTOH",ETH,598.85,BTC,8186.38
Sat Mar 17 05:52:00 2018,"jec871","#Ricona #RiconaICO #RCA #BTC #ETH #XRP https://t.co/4JJ7yx6938",ETH,598.85,BTC,8186.38
Sat Mar 17 05:52:01 2018,"amiabdullah33","RT @ndhunay: ** Crypto FAQ **\n\n1. What is #BTC price?\n-- Who cares\n\n2. Does the price matter?\n-- Nope\n\n3. What is going to happen?\n-- It wi…",ETH,598.85,BTC,8186.38
Sat Mar 17 05:52:02 2018,"tiny_walnuts","RT @ideas500k: :) - #Success #blockchain #entrepreneur #cryptocurrency #business #money #hustle #entrepreneurship #wealth #successful #btc…",ETH,598.85,BTC,8186.38
Sat Mar 17 05:52:03 2018,"sakura_pachi","RT @MOLD_games: 【ETHプレゼント企画 補足】\n現在行なっているプレゼント企画ですが、抽選は、当該期間内のツイートに対する一回毎のRT or いいねを1票として行います。RT or いいね数が多ければ当選確率も高まります！\n\nなお、今回は、3月中に行われたツイー…",ETH,598.85,BTC,8186.38
Sat Mar 17 05:52:03 2018,"suitcaseeland","RT @payvxofficial: Join our Telegram community!\nHang around and get in touch with other supporters of PayVX.\n\nhttps://t.co/W9e0Sp1J3F   \n\n#…",ETH,598.85,BTC,8186.38
Sat Mar 17 05:52:04 2018,"icospection","#Cryptocurrency Price Alert (Hourly Change):\n $BTC (USD):  $8210.07   1H Change: -0.13%\n $ETH (USD):  $598.255   1H… https://t.co/5vFIxoqqND",ETH,598.85,BTC,8186.38
Sat Mar 17 05:52:05 2018,"dorothea9648cr","RT @BinanceGive_bot: @Bitcoin https://t.co/zibAo2TQGt",ETH,599,BTC,8187.54
Sat Mar 17 05:52:06 2018,"TranMin23417227","RT @bethereumteam: We're launching something huge for our #Telegram community next-week! #Sportsbetting directly in our group with a lotter…",ETH,599,BTC,8187.54
